description,lat,lon,hour,geo_bucket,type
barrière tordue place du marché,49.2531779175143,2.4398075254011538,21,49.25225_2.44144,mobilier_urbain
nid-de-poule place du marché,49.265549116085786,2.404210672703534,15,49.26577_2.40541,voirie
signalisation abîmée place du marché,49.266259166101335,2.4262445141377573,17,49.26577_2.42793,voirie
poubelles débordent place du marché,49.2864803089169,2.41044455171217,16,49.28829_2.40991,dechets_sauvages
déchets au sol rue victor hugo,49.28187787356776,2.403353281427069,23,49.28378_2.40541,dechets_sauvages
caddie dans la rue rue victor hugo,49.29436063712882,2.425146696854162,6,49.29279_2.42342,objet_abandonne
chien errant avenue des lilas,49.2736107462581,2.424978107796746,19,49.27477_2.42342,animal_errant
poubelles débordent avenue des lilas,49.25597971229691,2.435345045083786,14,49.25676_2.43694,dechets_sauvages
nid-de-poule rue victor hugo,49.28566223936115,2.437237534652595,6,49.28378_2.43694,voirie
trottoir cassé rue victor hugo,49.28803925243084,2.436389574434645,1,49.28829_2.43694,voirie
trottinette laissée rue victor hugo,49.27806385987847,2.4204779366458378,1,49.27928_2.41892,objet_abandonne
chat blessé rue victor hugo,49.28854835899773,2.431584489361328,6,49.28829_2.43243,animal_errant
vélo abandonné avenue des lilas,49.27468977981822,2.428847262132198,18,49.27477_2.42793,objet_abandonne
barrière tordue avenue des lilas,49.2761366414691,2.4210780878058458,5,49.27477_2.41892,mobilier_urbain
tas de déchets place du marché,49.27137705091793,2.4298606347092995,11,49.27027_2.42793,dechets_sauvages
parterre dégradé rue victor hugo,49.2512709563372,2.447362393835313,14,49.25225_2.44595,espace_vert
poubelles débordent place du marché,49.25539457134966,2.409644687184069,12,49.25676_2.40991,dechets_sauvages
trottoir cassé rue victor hugo,49.251571459284335,2.445288604789276,6,49.25225_2.44595,voirie
agression verbale avenue des lilas,49.28182052056319,2.40267277569916,6,49.28378_2.40090,incivilite
poubelles débordent place du marché,49.26571779905382,2.415419460645083,14,49.26577_2.41441,dechets_sauvages
nid-de-poule place du marché,49.27542853455824,2.414407262430576,3,49.27477_2.41441,voirie
attroupement bruyant rue victor hugo,49.295378323696305,2.431318255394045,2,49.29730_2.43243,incivilite
barrière tordue place du marché,49.262464611457446,2.4065612475888645,0,49.26126_2.40541,mobilier_urbain
trottoir cassé place du marché,49.270519146151784,2.4441173805919876,6,49.27027_2.44595,voirie
banc cassé rue victor hugo,49.28777755692715,2.4414275704232518,8,49.28829_2.44144,mobilier_urbain
attroupement bruyant place du marché,49.26143990827458,2.4326032909842636,0,49.26126_2.43243,incivilite
trottoir cassé place du marché,49.25384899549144,2.42292069158961,4,49.25225_2.42342,voirie
abribus brisé avenue des lilas,49.26448757264569,2.446647802107104,14,49.26577_2.44595,mobilier_urbain
parterre dégradé place du marché,49.2580610643627,2.4415373277360275,3,49.25676_2.44144,espace_vert
arbre tombé place du marché,49.29648488261713,2.424965757404062,9,49.29730_2.42342,espace_vert
chien errant avenue des lilas,49.290406018978224,2.4350936677227155,1,49.28829_2.43694,animal_errant
poubelles débordent place du marché,49.28167018782552,2.428346497608984,22,49.28378_2.42793,dechets_sauvages
vélo abandonné rue victor hugo,49.29357302950939,2.429397111919413,6,49.29279_2.42793,objet_abandonne
nid-de-poule avenue des lilas,49.29018360384496,2.4165488034718736,23,49.28829_2.41441,voirie
vélo abandonné avenue des lilas,49.2593285029443,2.4231042302312447,18,49.26126_2.42342,objet_abandonne
trottoir cassé place du marché,49.2946279499245,2.4039060715394873,5,49.29279_2.40541,voirie
trottinette laissée avenue des lilas,49.27696711209578,2.4178674345832296,14,49.27477_2.41892,objet_abandonne
signalisation abîmée place du marché,49.2903720077582,2.4347914257681076,19,49.28829_2.43694,voirie
haie non taillée avenue des lilas,49.29480456499618,2.447660801525309,11,49.29279_2.44595,espace_vert
tas de déchets rue victor hugo,49.26590017374859,2.448153205638151,10,49.26577_2.44595,dechets_sauvages
déchets au sol place du marché,49.255502596226385,2.4277861434562444,2,49.25676_2.42793,dechets_sauvages
caddie dans la rue rue victor hugo,49.2613967581271,2.430331112590479,19,49.26126_2.43243,objet_abandonne
nid-de-poule avenue des lilas,49.271355389431314,2.4092860592750482,16,49.27027_2.40991,voirie
chat blessé avenue des lilas,49.29090073829612,2.4347654054046766,6,49.29279_2.43694,animal_errant
arbre tombé avenue des lilas,49.29303652916282,2.403532939633719,22,49.29279_2.40541,espace_vert
barrière tordue rue victor hugo,49.25034760652656,2.414234284289972,22,49.25225_2.41441,mobilier_urbain
caddie dans la rue place du marché,49.275537365128876,2.433418167364272,17,49.27477_2.43243,objet_abandonne
tas de déchets avenue des lilas,49.27087055015744,2.4155155065771745,16,49.27027_2.41441,dechets_sauvages
trottinette laissée avenue des lilas,49.26110539052354,2.4024923437057226,15,49.26126_2.40090,objet_abandonne
signalisation abîmée rue victor hugo,49.25599326836669,2.4415935204675483,1,49.25676_2.44144,voirie
chien errant rue victor hugo,49.26688075857018,2.4155165003567283,4,49.26577_2.41441,animal_errant
agression verbale rue victor hugo,49.29714548519563,2.403155261242934,20,49.29730_2.40541,incivilite
barrière tordue avenue des lilas,49.26616014660104,2.4037394082251433,12,49.26577_2.40541,mobilier_urbain
parterre dégradé place du marché,49.27593953108717,2.4125879399394377,10,49.27477_2.41441,espace_vert
trottinette laissée avenue des lilas,49.28515094794476,2.4089007973610763,23,49.28378_2.40991,objet_abandonne
trottinette laissée place du marché,49.26818148011896,2.4387150058890072,0,49.27027_2.43694,objet_abandonne
banc cassé avenue des lilas,49.29858910413605,2.4160842023333515,22,49.29730_2.41441,mobilier_urbain
nid-de-poule place du marché,49.29812236474711,2.4402347892519916,2,49.29730_2.44144,voirie
déchets au sol avenue des lilas,49.26258911479127,2.4086922998911575,17,49.26126_2.40991,dechets_sauvages
déchets au sol avenue des lilas,49.27486242529462,2.424643958977204,20,49.27477_2.42342,dechets_sauvages
déchets au sol place du marché,49.265043915490836,2.434401856677656,3,49.26577_2.43243,dechets_sauvages
arbre tombé place du marché,49.264242024718875,2.4325995426932927,8,49.26577_2.43243,espace_vert
nid-de-poule rue victor hugo,49.25184434736773,2.4300564704965133,10,49.25225_2.42793,voirie
trottinette laissée rue victor hugo,49.280478216698995,2.4462410800965584,16,49.27928_2.44595,objet_abandonne
abribus brisé rue victor hugo,49.27513395116144,2.411426257385337,10,49.27477_2.40991,mobilier_urbain
abribus brisé rue victor hugo,49.2525739375625,2.4246859602231052,2,49.25225_2.42342,mobilier_urbain
banc cassé rue victor hugo,49.26393232321183,2.4441996275036204,18,49.26577_2.44595,mobilier_urbain
signalisation abîmée place du marché,49.295413294298335,2.403894688279758,19,49.29730_2.40541,voirie
attroupement bruyant place du marché,49.26197809453335,2.4027944134126535,22,49.26126_2.40090,incivilite
agression verbale rue victor hugo,49.25724474360456,2.4116651143779144,20,49.25676_2.40991,incivilite
barrière tordue rue victor hugo,49.274472638013876,2.431651060976901,10,49.27477_2.43243,mobilier_urbain
attroupement bruyant avenue des lilas,49.29928252270553,2.41299398132249,13,49.29730_2.41441,incivilite
tas de déchets avenue des lilas,49.26210276357558,2.40951199419044,5,49.26126_2.40991,dechets_sauvages
déchets au sol rue victor hugo,49.283606777370295,2.4229401157679145,18,49.28378_2.42342,dechets_sauvages
barrière tordue place du marché,49.28808098076644,2.4306799034384703,20,49.28829_2.43243,mobilier_urbain
agression verbale avenue des lilas,49.26188187719962,2.4124278853508367,14,49.26126_2.41441,incivilite
nid-de-poule place du marché,49.28641081743059,2.415034559336187,10,49.28829_2.41441,voirie
banc cassé rue victor hugo,49.26838915663596,2.4306779652405757,17,49.27027_2.43243,mobilier_urbain
déchets au sol avenue des lilas,49.281615291529675,2.4472869210994723,3,49.28378_2.44595,dechets_sauvages
arbre tombé rue victor hugo,49.28167648553804,2.433737086371904,18,49.28378_2.43243,espace_vert
vélo abandonné place du marché,49.27678873420374,2.439145207179228,2,49.27477_2.43694,objet_abandonne
nid-de-poule avenue des lilas,49.25451448850272,2.4183405047377735,11,49.25676_2.41892,voirie
haie non taillée place du marché,49.29176512477946,2.4136127179692233,3,49.29279_2.41441,espace_vert
déchets au sol place du marché,49.266039003248586,2.422713387160131,23,49.26577_2.42342,dechets_sauvages
animal sans maître avenue des lilas,49.259325925519995,2.4403566414355837,11,49.26126_2.44144,animal_errant
déchets au sol rue victor hugo,49.25203875707774,2.4228149820895277,23,49.25225_2.42342,dechets_sauvages
trottoir cassé place du marché,49.27954464715941,2.442336270439493,0,49.27928_2.44144,voirie
déchets au sol rue victor hugo,49.28387821809211,2.4494385990347562,15,49.28378_2.45045,dechets_sauvages
trottoir cassé avenue des lilas,49.250829391446395,2.4036013332865167,20,49.25225_2.40541,voirie
arbre tombé rue victor hugo,49.275604652914964,2.402270507804185,1,49.27477_2.40090,espace_vert
animal sans maître rue victor hugo,49.2613247887599,2.407479485145668,21,49.26126_2.40541,animal_errant
nid-de-poule rue victor hugo,49.28225863952047,2.419218483786717,2,49.28378_2.41892,voirie
abribus brisé avenue des lilas,49.25871832145025,2.4065521104572714,15,49.25676_2.40541,mobilier_urbain
vélo abandonné rue victor hugo,49.284546886905126,2.4435332238809377,9,49.28378_2.44144,objet_abandonne
haie non taillée rue victor hugo,49.269336767315025,2.4011573125513532,8,49.27027_2.40090,espace_vert
banc cassé avenue des lilas,49.296836499436836,2.415789635816791,13,49.29730_2.41441,mobilier_urbain
vélo abandonné rue victor hugo,49.2568760472073,2.4092347314747102,7,49.25676_2.40991,objet_abandonne
trottoir cassé place du marché,49.26705331755251,2.4465769665078767,1,49.26577_2.44595,voirie
tas de déchets rue victor hugo,49.25567367606203,2.4334740502445014,10,49.25676_2.43243,dechets_sauvages
chien errant place du marché,49.296234680913926,2.4456015128225688,1,49.29730_2.44595,animal_errant
trottoir cassé avenue des lilas,49.29386696766905,2.4486164355155196,14,49.29279_2.45045,voirie
chat blessé avenue des lilas,49.26289708138576,2.4248549121838683,17,49.26126_2.42342,animal_errant
vélo abandonné place du marché,49.28299920230171,2.4117159554024012,4,49.28378_2.40991,objet_abandonne
signalisation abîmée avenue des lilas,49.29086111001006,2.409686439309829,6,49.29279_2.40991,voirie
haie non taillée rue victor hugo,49.27776004057997,2.411145943084292,22,49.27928_2.40991,espace_vert
haie non taillée avenue des lilas,49.2764825289178,2.4354296653811,18,49.27477_2.43694,espace_vert
abribus brisé avenue des lilas,49.262092614545026,2.40202228640615,18,49.26126_2.40090,mobilier_urbain
barrière tordue avenue des lilas,49.2546551383903,2.4025680536516356,15,49.25676_2.40090,mobilier_urbain
trottoir cassé rue victor hugo,49.29486078789767,2.4304071471191575,18,49.29279_2.43243,voirie
trottoir cassé avenue des lilas,49.29502090285817,2.4321028573368704,16,49.29279_2.43243,voirie
arbre tombé rue victor hugo,49.281655072863664,2.433263146216123,12,49.28378_2.43243,espace_vert
poubelles débordent rue victor hugo,49.26695148955243,2.4185940252294293,7,49.26577_2.41892,dechets_sauvages
nid-de-poule avenue des lilas,49.267460478730634,2.4402972444357074,10,49.26577_2.44144,voirie
déchets au sol rue victor hugo,49.28629778394351,2.4266812293863307,17,49.28829_2.42793,dechets_sauvages
caddie dans la rue rue victor hugo,49.29485551299763,2.4052732815004707,10,49.29279_2.40541,objet_abandonne
déchets au sol place du marché,49.294354321213255,2.439854965353367,22,49.29279_2.44144,dechets_sauvages
agression verbale place du marché,49.28899377729288,2.4476533893135226,8,49.28829_2.44595,incivilite
trottoir cassé avenue des lilas,49.28210158230772,2.403001815650118,13,49.28378_2.40090,voirie
tapage nocturne avenue des lilas,49.25420699824975,2.419567566935029,1,49.25225_2.41892,incivilite
arbre tombé rue victor hugo,49.25808143570473,2.4243758022417374,16,49.25676_2.42342,espace_vert
vélo abandonné rue victor hugo,49.294927709426354,2.407323538003916,20,49.29279_2.40541,objet_abandonne
abribus brisé place du marché,49.28032145298298,2.4433854473891436,15,49.27928_2.44144,mobilier_urbain
poubelles débordent place du marché,49.25045985258083,2.4142074822445023,4,49.25225_2.41441,dechets_sauvages
haie non taillée rue victor hugo,49.2550735771433,2.4391504269969078,0,49.25676_2.43694,espace_vert
vélo abandonné avenue des lilas,49.2831750884554,2.433549724101416,8,49.28378_2.43243,objet_abandonne
signalisation abîmée avenue des lilas,49.25025307919231,2.429902291123351,2,49.25225_2.42793,voirie
chat blessé place du marché,49.25804040257088,2.4096071424348278,13,49.25676_2.40991,animal_errant
tas de déchets rue victor hugo,49.27743668946833,2.411035176027545,17,49.27928_2.40991,dechets_sauvages
banc cassé place du marché,49.284594759884634,2.4023674202373284,11,49.28378_2.40090,mobilier_urbain
tas de déchets rue victor hugo,49.28259806297513,2.4120356214891134,22,49.28378_2.40991,dechets_sauvages
banc cassé place du marché,49.26121346547303,2.4172721804730255,13,49.26126_2.41892,mobilier_urbain
trottinette laissée rue victor hugo,49.285608961067375,2.441657265193121,15,49.28378_2.44144,objet_abandonne
trottoir cassé avenue des lilas,49.26186245437484,2.41831963333574,4,49.26126_2.41892,voirie
arbre tombé place du marché,49.266269984907964,2.43773108913828,19,49.26577_2.43694,espace_vert
vélo abandonné rue victor hugo,49.287324570255905,2.4219721140647743,19,49.28829_2.42342,objet_abandonne
chat blessé avenue des lilas,49.28248164495236,2.4392434155996945,14,49.28378_2.44144,animal_errant
tapage nocturne rue victor hugo,49.29246117052471,2.448813580021852,8,49.29279_2.45045,incivilite
attroupement bruyant avenue des lilas,49.28288064461502,2.411992077902879,16,49.28378_2.40991,incivilite
vélo abandonné avenue des lilas,49.278415430166774,2.443117080598194,11,49.27928_2.44144,objet_abandonne
poubelles débordent rue victor hugo,49.25468373839141,2.4310912043152886,12,49.25676_2.43243,dechets_sauvages
chat blessé rue victor hugo,49.26838579015297,2.4408647130794328,9,49.27027_2.44144,animal_errant
tapage nocturne place du marché,49.26326011838409,2.43257929511339,6,49.26126_2.43243,incivilite
abribus brisé place du marché,49.26219948216895,2.4211974753637073,23,49.26126_2.42342,mobilier_urbain
abribus brisé place du marché,49.29865052773762,2.4114037469720895,20,49.29730_2.40991,mobilier_urbain
arbre tombé avenue des lilas,49.26965488623334,2.403501761266558,6,49.27027_2.40541,espace_vert
déchets au sol rue victor hugo,49.29460232775885,2.426775918223036,7,49.29279_2.42793,dechets_sauvages
tas de déchets avenue des lilas,49.28155693129986,2.4495163047263433,23,49.28378_2.45045,dechets_sauvages
agression verbale place du marché,49.289740565177084,2.4369020902507104,14,49.28829_2.43694,incivilite
tas de déchets rue victor hugo,49.27513185465526,2.4163672770699507,20,49.27477_2.41441,dechets_sauvages
trottoir cassé rue victor hugo,49.278845194231316,2.441360240004337,17,49.27928_2.44144,voirie
parterre dégradé rue victor hugo,49.27462588469094,2.43844920000882,21,49.27477_2.43694,espace_vert
vélo abandonné rue victor hugo,49.2597621493899,2.414081789667673,0,49.26126_2.41441,objet_abandonne
barrière tordue avenue des lilas,49.286122605763076,2.4007153744897116,9,49.28829_2.40090,mobilier_urbain
abribus brisé rue victor hugo,49.26403861812204,2.4059081319266973,21,49.26577_2.40541,mobilier_urbain
nid-de-poule place du marché,49.251215798321574,2.4438653095156027,18,49.25225_2.44595,voirie
barrière tordue place du marché,49.28227361479536,2.4418281517652436,2,49.28378_2.44144,mobilier_urbain
banc cassé avenue des lilas,49.258855533970355,2.414760450043918,6,49.25676_2.41441,mobilier_urbain
trottoir cassé rue victor hugo,49.29702292921765,2.414259771314221,3,49.29730_2.41441,voirie
vélo abandonné place du marché,49.29769642885013,2.4396432493551234,4,49.29730_2.44144,objet_abandonne
trottoir cassé avenue des lilas,49.295743219511024,2.446886873494771,5,49.29730_2.44595,voirie
tas de déchets rue victor hugo,49.26850793501277,2.43895686283988,9,49.27027_2.43694,dechets_sauvages
tas de déchets place du marché,49.25077283082644,2.430278933851538,11,49.25225_2.43243,dechets_sauvages
trottoir cassé avenue des lilas,49.296415928129385,2.41213356751659,13,49.29730_2.40991,voirie
tapage nocturne place du marché,49.271409207415864,2.426287395704763,21,49.27027_2.42793,incivilite
trottoir cassé rue victor hugo,49.29833274095218,2.411675592929663,1,49.29730_2.40991,voirie
tas de déchets rue victor hugo,49.29818099885446,2.4404005710048384,2,49.29730_2.44144,dechets_sauvages
poubelles débordent place du marché,49.29265047277337,2.4193480539758867,0,49.29279_2.41892,dechets_sauvages
barrière tordue rue victor hugo,49.26472244460348,2.4416848608497013,2,49.26577_2.44144,mobilier_urbain
déchets au sol place du marché,49.2692548864301,2.4190804608991363,23,49.27027_2.41892,dechets_sauvages
tas de déchets avenue des lilas,49.292556833575844,2.4412074702599944,14,49.29279_2.44144,dechets_sauvages
trottinette laissée avenue des lilas,49.26584610025781,2.416665890758262,15,49.26577_2.41441,objet_abandonne
trottinette laissée rue victor hugo,49.2584746373343,2.4220066352308836,19,49.25676_2.42342,objet_abandonne
agression verbale avenue des lilas,49.277840063122916,2.4307744209671327,1,49.27928_2.43243,incivilite
attroupement bruyant avenue des lilas,49.29680773870804,2.403514380701496,19,49.29730_2.40541,incivilite
signalisation abîmée avenue des lilas,49.28480148983375,2.447410353090773,15,49.28378_2.44595,voirie
trottinette laissée place du marché,49.27850305850447,2.42868028930619,14,49.27928_2.42793,objet_abandonne
banc cassé rue victor hugo,49.25485882468854,2.42539100073454,6,49.25676_2.42342,mobilier_urbain
déchets au sol place du marché,49.28075036133496,2.4419696985559955,4,49.27928_2.44144,dechets_sauvages
signalisation abîmée rue victor hugo,49.299502692505214,2.443288136494841,4,49.29730_2.44144,voirie
tas de déchets avenue des lilas,49.25700420076183,2.4261130202264507,20,49.25676_2.42793,dechets_sauvages
déchets au sol avenue des lilas,49.275916482618186,2.4463631162896817,8,49.27477_2.44595,dechets_sauvages
tas de déchets place du marché,49.2938686535964,2.403236888303824,22,49.29279_2.40541,dechets_sauvages
haie non taillée avenue des lilas,49.28703843088771,2.405661289612561,13,49.28829_2.40541,espace_vert
attroupement bruyant avenue des lilas,49.28485078704976,2.429839411500722,18,49.28378_2.42793,incivilite
chat blessé rue victor hugo,49.285124204199356,2.417703293089679,17,49.28378_2.41892,animal_errant
nid-de-poule avenue des lilas,49.26797455756099,2.42321125830946,8,49.26577_2.42342,voirie
poubelles débordent place du marché,49.26467959221323,2.416403960894858,2,49.26577_2.41441,dechets_sauvages
chien errant place du marché,49.29046805777393,2.420236265572247,10,49.28829_2.41892,animal_errant
barrière tordue rue victor hugo,49.29050566973396,2.4411323173573147,23,49.28829_2.44144,mobilier_urbain
caddie dans la rue avenue des lilas,49.29335361592901,2.4296738099927153,14,49.29279_2.42793,objet_abandonne
déchets au sol place du marché,49.29566202762782,2.449867227464175,3,49.29730_2.45045,dechets_sauvages
trottoir cassé place du marché,49.27556711994305,2.439343959891048,20,49.27477_2.44144,voirie
haie non taillée rue victor hugo,49.27507581473436,2.4136833127050914,23,49.27477_2.41441,espace_vert
tas de déchets avenue des lilas,49.28991475894834,2.4132172558863347,4,49.28829_2.41441,dechets_sauvages
signalisation abîmée rue victor hugo,49.28249819653889,2.4167949135058504,17,49.28378_2.41892,voirie
trottoir cassé avenue des lilas,49.285098343862884,2.442162974032387,21,49.28378_2.44144,voirie
déchets au sol place du marché,49.289789633471806,2.4013643825325284,22,49.28829_2.40090,dechets_sauvages
attroupement bruyant rue victor hugo,49.294500267090875,2.411509063943563,11,49.29279_2.40991,incivilite
vélo abandonné rue victor hugo,49.26689975784258,2.445245921017213,0,49.26577_2.44595,objet_abandonne
trottoir cassé avenue des lilas,49.268779147631996,2.4319948218041625,21,49.27027_2.43243,voirie
trottoir cassé rue victor hugo,49.25469909699204,2.4113423547750528,19,49.25676_2.40991,voirie
agression verbale avenue des lilas,49.278914007049806,2.410957248411629,1,49.27928_2.40991,incivilite
